X Y Z LocalTime TrackLength
-98.8200000000 1.4820146102 -3.6161135401 0.0000000000 0.0000000000
-82.3500000000 1.4820146102 -3.6161135401 0.0551905847 16.4700000000
-81.8500000000 1.4820146102 -3.6161135401 0.0568660730 16.9700039256
-81.5111061123 1.4814967024 -3.6162120828 0.0580017048 17.3089000284
-80.4557098312 1.4898211766 -3.6098931938 0.0615385183 18.3643482557
-80.1200000000 1.4924501602 -3.6078675172 0.0626635405 18.7000762657
-79.5469863742 1.4962033774 -3.6054252276 0.0645837801 19.2731125596
-78.9724357019 1.5017672250 -3.6065201198 0.0665092133 19.8476912765
-78.3900000000 1.5076941483 -3.6077422846 0.0684610825 20.4301637657
-78.0619278262 1.5116207533 -3.6074646391 0.0695605510 20.7582612538
-76.9830983659 1.5276012228 -3.6056500174 0.0731761845 21.8372108166
-76.6600000000 1.5324991443 -3.6051202728 0.0742590366 22.1603483889
-75.9937951962 1.5413718843 -3.6062928310 0.0764917450 22.8266203273
-75.6181213289 1.5490994183 -3.6066143479 0.0777509354 23.2023738419
-74.9300000000 1.5631082178 -3.6069904806 0.0800573831 23.8906453599
-74.6170130115 1.5670565066 -3.6090129218 0.0811063546 24.2036653407
-73.5106018887 1.5785608696 -3.6211212430 0.0848145370 25.3102027607
-73.2000000000 1.5819777579 -3.6246406270 0.0858555447 25.6208449141
-71.4700000000 1.6025812370 -3.6375701415 0.0916536473 27.3510635727
-71.1668450362 1.6278748773 -3.6246359803 0.0926740396 27.6555482165
-70.0409207878 1.7197434857 -3.5722986357 0.0964638778 28.7864261738
-69.7400000000 1.7443704626 -3.5583117076 0.0974767926 29.0886782693
-68.9746485023 1.8063568745 -3.5209531283 0.1000531193 29.8574535629
-68.6858252367 1.8301111300 -3.5078593261 0.1010253053 30.1475478082
-68.0100000000 1.8852064136 -3.4766168408 0.1033001078 30.8263418670
-67.6621122813 1.9151398220 -3.4596560638 0.1044716711 31.1759286493
-66.6729452358 1.9979662616 -3.4098919146 0.1078024554 32.1698041332
-66.2800000000 2.0307771339 -3.3905707556 0.1091255066 32.5645924336
-65.8941662272 2.0631261088 -3.3727413385 0.1104244732 32.9521926435
-64.8932665976 2.1456607580 -3.3228440073 0.1137943606 33.9577283890
-64.5500000000 2.1739600780 -3.3059501220 0.1149500543 34.3025755096
-64.0500000000 2.2134588081 -3.2817130309 0.1166329138 34.8047225734
-63.5500000000 2.2538434677 -3.2538767443 0.1183166435 35.3071266731
-62.9663902498 2.2976280396 -3.2225566081 0.1202808496 35.8932195758
-62.4582580456 2.3357797742 -3.1949933951 0.1219910976 36.4035272101
-61.8200000000 2.3833689961 -3.1596593270 0.1241393649 37.0445382010
-61.5099370884 2.4060700089 -3.1436594458 0.1251826799 37.3558440335
-60.3921070506 2.4837511296 -3.0862496416 0.1289429812 38.4778399036
-60.0900000000 2.5050520471 -3.0708834828 0.1299592969 38.7810880276
-58.3600000000 2.6253342391 -2.9769014348 0.1357798449 40.5178581518
-58.0547686197 2.6460017363 -2.9607921618 0.1368065957 40.8242138085
-56.9464310583 2.7221806932 -2.9022331666 0.1405351498 41.9367087641
-56.6300000000 2.7440835371 -2.8856289185 0.1415996711 42.2543329089
-56.0456517863 2.7830606160 -2.8528667759 0.1435655771 42.8409008991
-55.4313278323 2.8230225914 -2.8184472387 0.1456321152 43.4574850086
-54.9000000000 2.8571732594 -2.7882961835 0.1474194444 43.9907669117
-54.5318441724 2.8807758178 -2.7684816579 0.1486576756 44.3602125299
-53.5714159970 2.9427055427 -2.7145218705 0.1518884205 45.3241469406
-53.1700000000 2.9689287387 -2.6918980516 0.1532388161 45.7270569116
-52.7793048875 2.9933301061 -2.6695177091 0.1545529798 46.1191550618
-51.8016456279 3.0454874904 -2.6191308168 0.1578387620 47.0995005093
-51.4400000000 3.0651712513 -2.6004991187 0.1590542761 47.4621625016
-50.8957837274 3.0959971190 -2.5723948504 0.1608836661 48.0079800437
