X Y Z LocalTime TrackLength
-98.8200000000 2.6200556304 -1.5755561252 0.0000000000 0.0000000000
-82.3500000000 2.6200556304 -1.5755561252 0.0551905847 16.4700000000
-81.8500000000 2.6200556304 -1.5755561252 0.0568660730 16.9700039256
-81.3664911977 2.6207393180 -1.5766218512 0.0584863116 17.4535180600
-80.6002814485 2.6237166797 -1.5791203601 0.0610539151 18.2197377700
-80.1200000000 2.6253302056 -1.5808507460 0.0626633602 18.7000286750
-79.7535697773 2.6283066537 -1.5817479976 0.0638913221 19.0664742000
-78.7609079456 2.6365402192 -1.5796366145 0.0672178901 20.0591725994
-78.3900000000 2.6398852751 -1.5793059345 0.0684608691 20.4300979454
-77.9297128615 2.6432507137 -1.5788142924 0.0700033575 20.8904009933
-77.1122434468 2.6516800578 -1.5815834828 0.0727429143 21.7079186815
-76.6600000000 2.6564807922 -1.5832397282 0.0742585109 22.1601938736
-76.2754683339 2.6597796329 -1.5846227582 0.0755471654 22.5447445153
-75.3220635269 2.6716214849 -1.5834478050 0.0787423747 23.4982237571
-74.9300000000 2.6764869591 -1.5830374598 0.0800563244 23.8903201228
-74.5026744841 2.6801961433 -1.5819557998 0.0814884029 24.3176660003
-73.6212856513 2.6877249627 -1.5838028816 0.0844421733 25.1990890646
-73.2000000000 2.6913919001 -1.5843546478 0.0858540165 25.6203938534
-72.7928400366 2.6935702356 -1.5867334142 0.0872185158 26.0275692265
-71.8845019362 2.7034933937 -1.5910981241 0.0902627267 26.9359721703
-71.4700000000 2.7089220819 -1.5931373409 0.0916519300 27.3505174035
-71.0670604517 2.7123459765 -1.5931969713 0.0930023033 27.7534740873
-70.1360681758 2.7223366388 -1.5905083436 0.0961224321 28.6845240118
-69.7400000000 2.7265913743 -1.5893914153 0.0974498178 29.0806191147
-69.3005311091 2.7341830306 -1.5890083968 0.0989227922 29.5201568204
-68.4663315455 2.7526475289 -1.5929181977 0.1017190991 30.3545700355
-68.0100000000 2.7626256501 -1.5949481847 0.1032487519 30.8110184993
-67.6435354183 2.7716289096 -1.5977930869 0.1044772719 31.1776068470
-66.6312985712 2.8022642840 -1.6059749294 0.1078712147 32.1903405132
-66.2800000000 2.8128606474 -1.6084581208 0.1090490773 32.5418096101
-65.7330019767 2.8295115018 -1.6144976476 0.1108831837 33.0890991300
-65.1268637318 2.8485066779 -1.6214930817 0.1129156667 33.6955754196
-64.5500000000 2.8668052849 -1.6278448356 0.1148500005 34.2727695980
-64.0500000000 2.8851181079 -1.6313862942 0.1165268256 34.7731214003
-63.5500000000 2.9066363300 -1.6337588475 0.1182040663 35.2735938741
-61.8200000000 2.9895815426 -1.6341290605 0.1240085700 37.0056295227
-61.5172385997 3.0071178343 -1.6317079131 0.1250249783 37.3089095109
