X Y Z LocalTime TrackLength
-98.8200000000 4.6764364996 -2.2060558685 0.0000000000 0.0000000000
-82.3500000000 4.6764364996 -2.2060558685 0.0551905847 16.4700000000
-81.8500000000 4.6764364996 -2.2060558685 0.0568660730 16.9700039256
-81.4707833606 4.6760126107 -2.2059916534 0.0581368248 17.3492230672
-80.4973120253 4.6727813336 -2.2051765213 0.0613989461 18.3227002698
-80.1200000000 4.6716518061 -2.2050317797 0.0626633257 18.7000162528
-79.6612725581 4.6698581676 -2.2035972008 0.0642005481 19.1587527574
-78.8487578226 4.6698267347 -2.2004687857 0.0669233291 19.9712736305
-78.3900000000 4.6694868284 -2.1986738046 0.0684606586 20.4300384098
-78.0153492636 4.6681823823 -2.1991383360 0.0697161426 20.8046939205
-77.0322273222 4.6639056585 -2.2018844382 0.0730106935 21.7878291679
-76.6600000000 4.6622983593 -2.2027543668 0.0742580686 22.1600631658
-76.1913625852 4.6598566081 -2.2034570850 0.0758285332 22.6287109409
-75.3996399505 4.6588721625 -2.1978029493 0.0784817403 23.4204544892
-74.9300000000 4.6580819827 -2.1943171418 0.0800555960 23.8901115322
-74.5617473325 4.6566971167 -2.1909489913 0.0812897126 24.2583843550
-73.5658401347 4.6521968623 -2.1849702721 0.0846273077 25.2543198440
-73.2000000000 4.6507521823 -2.1832761876 0.0858533419 25.6201688891
-72.7180915226 4.6472098781 -2.1825260843 0.0874683753 26.1020946778
-71.9557329094 4.6437142863 -2.1803427514 0.0900232658 26.8644645347
-71.4700000000 4.6412972803 -2.1791843581 0.0916511037 27.3502086109
-71.1103995678 4.6400792488 -2.1772435279 0.0928562443 27.7098184124
-70.0958537389 4.6324389411 -2.1693615797 0.0962564939 28.7244238175
-69.7400000000 4.6297817493 -2.1669129118 0.0974491308 29.0802979334
-69.2327242764 4.6251690703 -2.1624276086 0.0991493098 29.5876185890
-68.5250683671 4.6189091386 -2.1570544582 0.1015210695 30.2953226811
-68.0100000000 4.6140962898 -2.1532945888 0.1032473640 30.8104315245
-67.6636197057 4.6116843011 -2.1511369717 0.1044082607 31.1568288682
