X Y Z LocalTime TrackLength
-98.8200000000 2.6200556304 -1.5755561252 0.0000000000 0.0000000000
-82.3500000000 2.6200556304 -1.5755561252 0.0551905847 16.4700000000
-81.8500000000 2.6200556304 -1.5755561252 0.0568660730 16.9700039256
-81.3664941955 2.6207420621 -1.5766190616 0.0584863016 17.4535150621
-80.6002737624 2.6237238260 -1.5791167455 0.0610539409 18.2197454561
-80.1200000000 2.6253443392 -1.5808405404 0.0626633602 18.7000286748
-79.7535602774 2.6283244717 -1.5817362106 0.0638913539 19.0664837000
-78.7609005119 2.6365268159 -1.5796231761 0.0672179151 20.0591800328
-78.3900000000 2.6398704226 -1.5792922582 0.0684608691 20.4300979446
-77.9296965289 2.6432339483 -1.5788000985 0.0700034122 20.8904173257
-77.1122345839 2.6516895397 -1.5815696620 0.0727429440 21.7079275440
-76.6600000000 2.6564968911 -1.5832224735 0.0742585109 22.1601938726
-76.2754548253 2.6598014646 -1.5846020819 0.0755472106 22.5447580239
-75.3220567422 2.6716111044 -1.5834263182 0.0787423975 23.4982305428
-74.9300000000 2.6764748495 -1.5830157101 0.0800563244 23.8903201239
-74.5026611451 2.6801798045 -1.5819319778 0.0814884476 24.3176793417
-73.6212744963 2.6877391140 -1.5837794590 0.0844422107 25.1991002232
-73.2000000000 2.6914082413 -1.5843307390 0.0858540165 25.6203938570
-72.7928211077 2.6935964109 -1.5867007347 0.0872185792 26.0275881601
-71.8845396898 2.7035432655 -1.5910652404 0.0902626002 26.9359344206
-71.4700000000 2.7089808190 -1.5931000165 0.0916519301 27.3505174130
-71.0671017036 2.7124046055 -1.5931594685 0.0930021650 27.7534328429
-70.1360524774 2.7223599977 -1.5904684655 0.0961224848 28.6845397211
-69.7400000000 2.7266099765 -1.5893496469 0.0974498179 29.0806191242
-69.3005161142 2.7342001971 -1.5889663875 0.0989228425 29.5201718255
-68.4664260463 2.7527464918 -1.5928765309 0.1017187823 30.3544755143
-68.0100000000 2.7627348232 -1.5949044693 0.1032487519 30.8110185027
-67.6435989653 2.7717481010 -1.5977436251 0.1044770589 31.1775432842
-66.6311892361 2.8025031938 -1.6059287343 0.1078715814 32.1904499087
-66.2800000000 2.8131061438 -1.6084078204 0.1090490773 32.5418096133
-65.7325869464 2.8297938385 -1.6144385828 0.1108845753 33.0895143786
-65.1273816374 2.8488133532 -1.6214236367 0.1129139300 33.6950572095
-64.5500000000 2.8671540551 -1.6277675534 0.1148500004 34.2727695898
-64.0500000000 2.8854823621 -1.6313037068 0.1165268257 34.7731214274
-63.5500000000 2.9070113080 -1.6336734847 0.1182040665 35.2735939472
-61.8200000000 2.9899617660 -1.6340391388 0.1240085709 37.0056297969
-61.5172293631 3.0074894068 -1.6316149098 0.1250250104 37.3089190868
