X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0000281498 -2938.1048857639 0.0065088415 1.8951142364
-0.0000849522 0.0389735440 -2868.8611540859 0.2443291131 71.1388603005
0.0005220283 0.0522571527 -2857.0953984542 0.2847390823 82.9046234579
0.0005286787 0.0526291761 -2856.7922128032 0.2857803860 83.2078093373
0.0015219173 0.1840492132 -2783.6509206577 0.5369874244 156.3492236022
-0.0024821040 0.3403409729 -2730.1681464751 0.7206769252 209.8322311814
-0.0125368260 0.6564832414 -2651.4016253287 0.9912058801 288.5993924607
-0.0252815690 1.3952030607 -2521.3181161105 1.4379902330 418.6850224873
-0.0320006498 1.8877208237 -2453.0664563690 1.6724095129 486.9384628794
-0.0323697283 1.9116304233 -2450.0000000000 1.6829417107 490.0050124827
-0.0337055722 1.9994012192 -2438.9012690822 1.7210619763 501.1042592099
-0.0574989366 2.0288210956 -2434.6599415982 1.7356326707 505.3457786052
-0.1162069414 2.1385448670 -2419.2939705110 1.7884266063 520.7125808225
-0.1174945534 2.1375509247 -2418.3983997074 1.7915043543 521.6081540164
-0.1165208616 2.1301078669 -2413.0527409558 1.8098761983 526.9538561009
-0.0551808744 2.1056937414 -2400.0000000000 1.8547414663 540.0070039966
-0.0512522966 2.0992028447 -2399.2829600169 1.8572068132 540.7240841196
0.4960921933 1.2736697528 -2299.2878764152 2.2010103684 640.7240839824
0.5773298716 1.1645721941 -2284.3642736622 2.2523203851 655.6483066515
1.1207136142 0.5268340546 -2184.3677944264 2.5961240225 755.6483065143
1.1386392748 0.5088937353 -2181.0883687493 2.6073991466 758.9278302539
1.6848771463 0.0449981494 -2081.0909474804 2.9512028593 858.9278301167
1.8521381955 -0.0633196744 -2050.8562082824 3.0551532957 889.1632262851
2.1578928449 -0.2230147604 -1995.8745476016 3.2441860657 944.1459708138
2.6075054846 -0.3714402989 -1915.2200142461 3.5214842811 1024.8018995373
3.1643287505 -0.4130116006 -1815.2215839835 3.8652882543 1124.8018994001
3.1661153166 -0.4128857287 -1814.9036679534 3.8663812799 1125.1198204750
3.5108166691 -0.3588061036 -1753.7880757877 4.0765026131 1186.2364110925
3.8146285443 -0.2593497244 -1700.0000000000 4.2614315147 1240.0254385049
3.9237812180 -0.2121973575 -1680.6117565756 4.3280903599 1259.4140466818
4.0635591786 -0.1423284478 -1656.1402078430 4.4122262991 1283.8860946430
4.1512610191 -0.0926297318 -1640.7543392688 4.4651247163 1299.2722935283
4.2696698520 -0.0184693362 -1620.0260417464 4.5363911657 1320.0010621023
4.4683173793 0.1223379174 -1584.0869752424 4.6599542710 1355.9409542213
4.5261204530 0.1622423388 -1573.9014461829 4.6949734582 1366.1267254950
4.5779262657 0.1991646395 -1564.8839866758 4.7259767054 1375.1444094267
4.6158134826 0.2277710976 -1558.2495773727 4.7487867224 1381.7789885937
4.7471007492 0.3313674861 -1535.5173640374 4.8269433353 1404.5118173400
4.9528269257 0.5067552167 -1500.0000000000 4.9490573851 1440.0302110109
4.9588159822 0.5124613216 -1498.9717888582 4.9525925425 1441.0584554276
5.4089406985 0.9897840199 -1421.6246864147 5.2185254622 1518.4083453572
5.9922351458 1.7520923109 -1321.6293040778 5.5623306899 1618.4083452200
6.1106355321 1.9252434941 -1301.3784816692 5.6319578301 1638.6602540652
6.6943962052 2.8754852798 -1201.3847113680 5.9757631690 1738.6602539280
7.2779787534 3.9885056188 -1101.3926194200 6.3195685869 1838.6602537908
7.4235246187 4.2891204251 -1076.5315320483 6.4050500837 1863.5235847515
7.4757483259 4.3985720414 -1067.6637707737 6.4355407868 1872.3921752295
8.0679540083 5.7188852279 -967.6742518205 6.7793463752 1972.3921750923
8.3294303917 6.3523618123 -923.4595258387 6.9313773662 2016.6122128404
8.4688531710 6.7000830504 -900.0000000000 7.0120428465 2040.0747299248
8.4980276064 6.7741798752 -895.0829908758 7.0289500238 2044.9923838643
9.1442998445 8.4564726280 -788.4494117842 7.3956147893 2151.6411938418
9.1756052015 8.5381509053 -783.4778314067 7.4127100241 2156.6135436758
9.3497800360 8.9938658830 -756.1673831420 7.5066199619 2183.9283495325
9.3969261484 9.1239805143 -748.6072161996 7.5326166388 2191.4897830610
9.7022602109 9.9836381133 -700.0000000000 7.6997607107 2240.1055612096
10.3369365087 11.8781522865 -600.0199728102 8.0435670128 2340.1055610724
10.9680923016 13.9363956352 -500.0431599409 8.3873733812 2440.1055609352
11.6031248657 16.1465447761 -400.0696126770 8.7311798392 2540.1055607980
11.8507549649 17.0287177531 -361.9536349941 8.8622629233 2578.2325505838
12.0083529998 17.6013617177 -337.7179716622 8.9456117460 2602.4754906466
12.4938817011 19.4337808666 -262.7805786406 9.2033338903 2677.4368610138
13.0460929938 21.6239878965 -177.7813985995 9.4956699332 2762.4660540623
13.5495126351 23.7286814221 -100.0000000000 9.7631911284 2840.2775565496
13.7270704763 24.4939174658 -72.5406135981 9.8576369893 2867.7481778852
13.7771644752 24.7129736916 -64.7870066005 9.8843056174 2875.5050404449
14.1111633557 26.2009088928 -12.9618251062 10.0625613002 2927.3526553345
14.8297083629 29.5985654100 100.0000000000 10.4511155655 3040.3678693878
15.4557933462 32.7635028789 199.9479315595 10.7949228315 3140.3678692506
15.8685880816 34.9319012884 265.7986736297 11.0214496828 3206.2555994171
16.4955264945 38.3590791314 365.7379513680 11.3652570767 3306.2555992799
16.5011688192 38.3908080314 366.6427249654 11.3683697286 3307.1609466285
17.1206946569 41.9462107966 465.7931352158 11.7094820448 3406.3770271080
17.5118717285 44.2480002017 527.6818914067 11.9224116475 3468.3098109347
