X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0231610152 -2885.6403369473 0.1867003417 54.3596696519
-0.0010920817 0.0455514468 -2864.4571982275 0.2594546809 75.5428203330
-0.0133471234 0.4851660443 -2693.1791902255 0.8477176780 246.8214446385
-0.0244366199 1.1322458322 -2561.1952713128 1.3010272385 378.8069739137
-0.0294038537 1.8886455219 -2450.0000000000 1.6829408739 490.0048321664
-0.0295873461 1.9399783870 -2443.2462551244 1.7061375670 496.7588325593
-0.1867672638 2.2470558042 -2411.3532620476 1.8157045643 528.6550951760
-0.2563874307 2.2520494198 -2400.0000000000 1.8547293096 540.0087534959
-0.0315705457 2.6778209765 -2346.4468442638 2.0388491392 593.5640752658
0.3857667355 3.5917521153 -2246.4519024070 2.3826428995 693.5640751288
0.6811635245 4.3342251301 -2176.2538960423 2.6239949590 763.7666330804
0.7238965666 4.4471508781 -2166.1381862458 2.6587746301 773.8830634373
1.1456118294 5.6502337893 -2066.1463236510 3.0025685529 873.8830633002
1.2515976749 5.9750090343 -2041.2609959317 3.0881308767 898.7707360716
1.2589438305 5.9981133038 -2039.5212860866 3.0941124764 900.5106148371
1.6811294897 7.4056544400 -1939.5320945476 3.4379065457 1000.5106147001
1.8563335093 8.0383107786 -1898.0756511260 3.5804492488 1041.9722561927
1.9965097375 8.5636045184 -1864.8983212207 3.6945263015 1075.1540407836
2.4140834604 10.2530614334 -1764.9134763446 4.0383205275 1175.1540406465
2.6873673318 11.4365213395 -1700.0000000000 4.2615284382 1240.0788822187
2.8196958669 12.0422368203 -1668.2110598544 4.3708378086 1271.8738685378
2.8717949663 12.2783455923 -1656.1275134366 4.4123886893 1283.9598338237
3.0479780849 13.0823746917 -1615.9027136144 4.5507082935 1324.1930553261
3.1257988668 13.4348817926 -1598.7547754314 4.6096750451 1341.3447930029
3.4704981452 15.0737867839 -1522.1825662401 4.8729892101 1417.9353212995
3.4714517850 15.0783444316 -1521.9766750470 4.8736972344 1418.1412651389
3.5291002820 15.3545588546 -1509.5561609324 4.9164093428 1430.5649839839
3.5415488108 15.4136663271 -1506.9185439949 4.9254797130 1433.2032924903
3.5742683386 15.5690506263 -1500.0000000000 4.9492715798 1440.1236585234
3.8759293722 17.0281022938 -1436.6369797386 5.1671706510 1503.5041958638
4.2921443804 19.1467738831 -1349.1992422253 5.4678688746 1590.9685954584
4.3821181094 19.6218274198 -1330.2384933011 5.5330761808 1609.9355080624
4.4279129084 19.8669811798 -1320.5424787660 5.5664216261 1619.6347294571
4.4561178090 20.0154140143 -1314.6847756410 5.5865668843 1625.4943807899
4.5627459675 20.5760906020 -1292.7580483321 5.6619757153 1647.4285345988
5.0511998301 23.2299672710 -1192.7944740245 6.0057721336 1747.4285344617
5.5391962223 26.0382010141 -1092.8351146844 6.3495686404 1847.4285343246
6.0275311369 29.0041703769 -992.8803129407 6.6933652189 1947.4285341876
6.4006673330 31.3962465308 -915.9163136759 6.9580957769 2024.4306068479
6.4772660093 31.9030079281 -900.0000000000 7.0128439060 2040.3551701657
6.5295997857 32.2514631137 -889.1309809107 7.0502308720 2051.2298994327
6.5527543771 32.4041328818 -884.3919842821 7.0665320376 2055.9714111418
6.5613533127 32.4603030635 -882.6494234378 7.0725260910 2057.7148982590
6.7078055318 33.4259485110 -852.9228624506 7.1747802139 2087.4575003110
6.8708478215 34.4918290422 -820.3880477696 7.2866953391 2120.0101790201
7.0529614485 35.7028104952 -784.1370828414 7.4113961804 2156.2818230433
7.0537327466 35.7080010923 -783.9828243680 7.4119268235 2156.4361707475
7.4563443767 38.4629104011 -703.6386077637 7.6883137967 2236.8286202510
7.4747915014 38.5907480744 -700.0000000000 7.7008311128 2240.4695197614
7.9761050845 42.1868698272 -600.0659495980 8.0446284787 2340.4695196243
8.4037622983 45.3778810728 -514.8741732177 8.3377247276 2425.7221168619
8.4256000894 45.5448104122 -510.5091393871 8.3527427692 2430.0903960014
8.5771772106 46.7095597475 -480.2737531060 8.4567697321 2460.3485885834
9.0785700909 50.6616389142 -380.3531470626 8.8005674343 2560.3485884463
9.1652342051 51.3594888289 -363.1182224007 8.8598700209 2577.5978532174
9.6650967204 55.4938812626 -263.2049861741 9.2036679861 2677.5978530803
10.1578351659 59.7871723973 -163.2984163370 9.5474660349 2777.5978529432
10.4716331236 62.5859408882 -100.0000000000 9.7653001038 2840.9588932633
10.7870228508 65.4693300347 -36.3046631427 9.9845104628 2904.7202438691
11.3114919999 70.4704143934 70.5384881898 10.3522420838 3011.6816779426
11.4440317458 71.8822910419 100.0000000000 10.4536476411 3041.1772991270
11.8707419858 76.3822342346 192.4483661915 10.7718636973 3133.7361104336
12.1314382433 79.1617019038 248.2138255336 10.9638247899 3189.5714045340
12.5501954853 83.7296641971 337.7271618617 11.2719744813 3279.2022050291
13.0212665359 88.9738082185 437.5884400526 11.6157734326 3379.2022048920
13.4374409588 93.7167524225 525.4475437512 11.9182753975 3467.1902274011
13.6047740769 95.6849499927 561.2185606394 12.0414432031 3503.0157418677
13.8734440296 98.8947699973 618.7896293179 12.2396816115 3560.6768493316
14.2555422966 103.5133778717 700.0000000000 12.5193365058 3642.0193522478
14.3600299482 104.7829424356 722.0034620589 12.5951109209 3664.0596576990
14.4332513143 105.6930756531 737.7120272594 12.6492080236 3679.7947372193
14.8949045190 111.7865024537 840.9867554429 13.0048870559 3783.2501346171
14.9974515929 113.4287211274 868.0603313881 13.0981376543 3810.3736656103
15.0061642104 113.5650400665 870.2984072872 13.1058464718 3812.6159061179
15.1219476899 115.3821890905 900.0000000000 13.2081521841 3842.3732594184
15.4751736833 120.9945929816 990.2620056939 13.5190745155 3932.8102814170
15.8613693001 127.3507645348 1090.0590385771 13.8628744134 4032.8102812799
16.2483889712 133.8662843154 1189.8457914749 14.2066743758 4132.8102811427
16.4533002630 137.3755683134 1242.6278125003 14.3885409876 4185.7092317419
16.8407323131 144.1315451469 1342.3985720619 14.7323410804 4285.7092316048
17.0226575549 147.3916607911 1389.6126094529 14.8950507332 4333.0360409778
17.4037846048 154.3952140022 1489.3663202645 15.2388509733 4433.0360408407
17.4449099616 155.1515876646 1500.0000000000 15.2755022374 4443.6966664145
