X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000496929 0.0007156760 -2930.6085412117 0.0322553206 9.3914588261
0.0008656910 0.0981313633 -2827.8363162175 0.3852306266 112.1637411884
-0.0009144039 0.5330072996 -2680.1097119500 0.8926057017 259.8910187444
-0.0009355051 0.5644735192 -2672.6617915508 0.9181861091 267.3390056133
-0.0009883966 0.6272322027 -2658.3433636556 0.9673637940 281.6575710543
-0.0010752409 0.6525269209 -2652.7711891784 0.9865018480 287.2298029460
-0.0008564989 0.8433445618 -2613.7051246187 1.1206774211 326.2963341469
-0.0012558089 0.8838226944 -2606.0379049002 1.1470111658 333.9636607312
-0.0106231899 1.9089590545 -2450.0000000000 1.6829414095 490.0049724460
