X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0293359667 -2878.8215948260 0.2101195791 61.1784145784
0.0000529977 0.0330994608 -2875.0519798807 0.2230664721 64.9480314030
0.0006622362 0.1046426454 -2824.3584527932 0.3971755156 115.6416103295
0.0046759895 0.4497098644 -2699.9704367347 0.8243926882 240.0301249096
0.0081024749 0.7176859074 -2636.4610678805 1.0425200830 303.5400618641
0.0159207850 1.3896190770 -2517.9064124695 1.4497074080 422.0966388514
0.0204509090 1.8761558525 -2450.0000000000 1.6829407590 490.0047976619
0.0205707385 1.8872374086 -2448.5649439716 1.6878696653 491.4398988752
0.0744276184 2.0104196057 -2428.8815412627 1.7554777576 511.1242921607
0.0787060951 2.3151861710 -2418.7746763288 1.7902199026 521.2358938576
-0.2659449947 2.8389673440 -2400.0000000000 1.8547749515 540.0215304294
-1.9212588359 5.2454485551 -2300.0426759651 2.1985410544 640.0215302928
-3.5726655868 7.8174875719 -2200.0894103106 2.5423072242 740.0215301561
-4.1249699766 8.7143584417 -2166.6624849153 2.6572747442 773.4650465053
-5.7747611390 11.5016468042 -2066.7149634022 3.0010410204 873.4650463687
-5.8581369728 11.6469266421 -2061.6623239824 3.0184198373 878.5204615736
-6.0807596128 12.0368763925 -2048.1781129974 3.0647997138 892.0121467387
-6.4320281284 12.6571620382 -2026.9324440682 3.1378762873 913.2697711716
-8.0841319398 15.6696440852 -1926.9914947592 3.4816427702 1013.2697710349
-8.5122357130 16.4756832696 -1901.1360495741 3.5705805034 1039.1413196435
-9.1381221942 17.6729709888 -1863.2957555704 3.7007456713 1077.0057241181
-10.7913294080 20.9414444637 -1763.3628689369 4.0445122857 1177.0057239814
-11.4604441261 22.3063293300 -1722.9653491389 4.1834837852 1217.4318329750
-11.8412617946 23.0939711247 -1700.0000000000 4.2624882816 1240.4138404767
-12.3350876066 24.1085083077 -1670.7317308765 4.3631776025 1269.7038516538
-12.7059427546 24.8652796780 -1649.0214314121 4.4378666215 1291.4305023093
-12.7464841177 24.9479670152 -1646.6468351324 4.4460358339 1293.8068836537
-13.2728734046 26.0276513455 -1615.8664934554 4.5519290152 1324.6106540542
