X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000000000 0.1652276185 -2794.8089601683 0.4986641187 145.1910400031
0.0029973102 0.4926565151 -2690.5621545068 0.8567048064 249.4381273023
0.0040837437 0.5701563032 -2671.5479384838 0.9220103990 268.4524901524
0.0130386866 1.7139133243 -2474.0845099943 1.6002126084 465.9176981420
0.0143287643 1.8306585603 -2458.4757261888 1.6538230828 481.5269057107
0.0149745477 1.8954914655 -2450.0000000000 1.6829341613 490.0028769940
0.0163892585 2.0085034507 -2435.5970322523 1.7324032427 504.4065610312
-0.0763525598 2.1252826081 -2422.2484841075 1.7782653851 517.7561785878
-0.0843187236 2.1545917787 -2420.7495486615 1.7834174619 519.2554243945
-0.1016208756 2.2071945954 -2417.8923657595 1.7932382930 522.1131541714
-0.2200177339 2.4912572516 -2400.1720316969 1.8541485123 539.8365739195
-0.2194550294 2.4928815819 -2400.0000000000 1.8547400689 540.0086140032
0.0571380103 3.6545727962 -2300.0062377134 2.1985893305 640.0086138654
0.1035976843 3.8655409560 -2283.2167457712 2.2563245885 656.7994733951
0.3801937501 5.2187467029 -2183.2252412583 2.6001739381 756.7994732573
0.6597646078 6.7310364877 -2083.2359000725 2.9440233476 856.7994731195
0.9407545125 8.3994653909 -1983.2489248643 3.2878728326 956.7994729817
1.0234038208 8.9113807444 -1954.2769158513 3.3875085631 985.7760209565
1.1068683424 9.4516764109 -1924.6146135421 3.4895192159 1015.4432526285
1.1720654958 9.8860552715 -1901.2913556117 3.5697301629 1038.7705854311
1.4041220206 11.5066626276 -1818.3136701102 3.8551006093 1121.7633837435
1.6856248708 13.6142363655 -1718.3346513535 4.1989503319 1221.7633836057
1.7363477618 14.0172746170 -1700.0000000000 4.2620093809 1240.1025083852
1.9081845973 15.4304431777 -1637.7379271047 4.4761510940 1302.3801932284
2.0060151493 16.1441426057 -1607.4015926605 4.5804915206 1332.7249472229
2.0367765610 16.3819436069 -1597.5209803058 4.6144760187 1342.6084686843
2.2044875674 17.7284383298 -1542.7113813965 4.8029947761 1397.4343211326
2.3401087205 18.8112001263 -1500.0000000000 4.9499048128 1440.1593222180
2.5532791069 20.6031776565 -1431.8771583363 5.1842244944 1508.3051499019
2.8650162042 23.3691571907 -1331.9137862085 5.5280749145 1608.3051497640
3.0976555908 25.5088619215 -1258.1317998650 5.7818785144 1682.1173447174
3.4138955909 28.5410638043 -1158.1759702537 6.1257290670 1782.1173445795
3.4261274060 28.6602412662 -1154.3522703646 6.1388833354 1785.9429208406
3.5221384431 29.5997981670 -1124.4049964545 6.2419079823 1815.9049545614
3.5809704542 30.1863912526 -1105.8815266030 6.3056333108 1834.4378034538
3.8976834355 33.4543425427 -1005.9329609283 6.6494840166 1934.4378033160
3.9240767416 33.7325603316 -997.6210546781 6.6780807242 1942.7544064253
3.9524691675 34.0335862820 -988.6651536465 6.7088932098 1951.7154100594
4.2362585790 37.0858476354 -900.0000000000 7.0139442986 2040.4315168995
4.6469394171 41.6713185921 -773.3332265855 7.4497614670 2167.1774897103
4.6855982798 42.0904716634 -762.1229052890 7.4883354662 2178.3957109579
4.7185082881 42.4531913201 -752.4463599224 7.5216319560 2188.0791080488
4.8952306358 44.4397634480 -700.0000000000 7.7020975450 2240.5627131035
5.1396087693 47.1495211544 -630.4905301850 7.9412854031 2310.1240932935
5.4924887477 51.1799069971 -530.5694092874 8.2851369854 2410.1240931557
5.5524555375 51.8793737166 -513.6277959635 8.3434409941 2427.0802457749
5.6572376287 53.1166255432 -483.8856180172 8.4457988111 2456.8482612292
6.0089158317 57.3884698477 -383.9743695250 8.7896505023 2556.8482610913
6.3655996622 61.8224305643 -284.0701006128 9.1335022638 2656.8482609535
6.4550295238 62.9582536184 -258.9482152836 9.2199731193 2681.9959688888
6.5481452294 64.1468896583 -232.9022726382 9.3096263621 2708.0691860795
6.9048798430 68.8205784523 -133.0087857678 9.6534782533 2808.0691859417
7.0244260305 70.3949624499 -100.0000000000 9.7671091161 2841.1156346707
7.0774986075 71.1084244663 -85.1898960432 9.8180933349 2855.9430088610
7.4163121050 75.7378186328 8.9425517378 10.1421522600 2950.1867329252
7.4598443902 76.3118051524 20.4382957658 10.1817301588 2961.6968800564
7.6884716388 79.5022008370 83.6380903851 10.3993180681 3024.9763522252
7.7475523377 80.3405628273 100.0000000000 10.4556530646 3041.3598326110
7.7580627478 80.4945015363 102.9934518062 10.4659597874 3044.3572583915
8.1093725921 85.7065969713 202.8606222620 10.8098122713 3144.3572582536
8.1293656271 86.0130144220 208.6311558845 10.8296824723 3150.1359561743
8.4748702651 91.3946187124 308.4894471543 11.1735350512 3250.1359560364
8.5764359629 93.0237393217 338.2164315936 11.2759060523 3279.9077204071
