X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -90.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0224462056 -75.0000000000 0.0500346866 15.0000000000
-0.0000265370 0.0225913743 -74.9327484065 0.0502590146 15.0672523358
-0.0000264834 0.0225931037 -74.9323924107 0.0502602021 15.0676083357
0.0001241688 0.0231798149 -74.8348595574 0.0505855435 15.1651445435
0.0001216947 0.0231959041 -74.8324470273 0.0505935911 15.1675571290
-0.1471191664 -0.0674437282 -72.4939039573 0.0584153035 17.5145245459
-0.1558560847 -0.0700594386 -72.3675650517 0.0588378228 17.6411970792
-0.2674558844 -0.0878405393 -71.0158780484 0.0633623155 18.9983101717
-0.2741101398 -0.0887891967 -70.9433139088 0.0636054004 19.0711865061
-0.3116082138 -0.0903499905 -70.6132109770 0.0647136030 19.4034554880
-0.4591881707 -0.0609221487 -69.5291282147 0.0683644203 20.4984216112
-0.5870373203 0.1645567231 -67.9633417240 0.0736149130 22.0971527725
-0.6364246014 0.2175491608 -67.6311754261 0.0747467583 22.4377217408
-0.7525657175 0.2981181034 -67.1592841619 0.0763841598 22.9319066569
-1.2874646005 0.5387639103 -65.2394401712 0.0830446899 25.0200024367
-1.3451986239 0.4794514270 -65.0000000000 0.0838899196 25.2752677128
-2.1709053950 -0.3199518302 -61.3986560310 0.0964910783 29.0676272959
-2.2725571716 -0.4368119045 -60.9508912820 0.0980713242 29.5415393185
-2.4684163184 -0.6515724768 -60.0000000000 0.1013891599 30.5372219373
-2.4697577871 -0.6526581270 -59.9944754163 0.1014084687 30.5430103563
-2.8945828377 -0.1120694129 -58.0386911034 0.1077358625 32.7656931026
-2.4825490171 0.8171669431 -56.6924578261 0.1128299474 34.5786163197
-1.7469056134 0.1386671034 -56.6828889241 0.1159526160 35.6322407007
0.6347673676 0.2180184722 -57.1521120411 0.1222337478 38.4535252211
1.8983566680 1.8181745469 -57.5723683273 0.1265987201 41.0306015981
1.7534914020 2.0780297708 -57.6848450005 0.1276735780 41.8588465971
1.5872829146 2.0737551693 -57.7101717636 0.1282515716 43.0932750090
1.5871509827 2.0738199125 -57.7103741989 0.1282546352 43.0949915399
