X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -90.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0224476841 -75.0000000000 0.0500347613 15.0000223955
-0.0000265370 0.0225933040 -74.9327484078 0.0502590894 15.0672747312
-0.0000264834 0.0225950333 -74.9323924121 0.0502602768 15.0676307312
0.0001241688 0.0231827625 -74.8348595639 0.0505856182 15.1651669390
0.0001216947 0.0231988523 -74.8324470338 0.0505936658 15.1675795245
-0.1471191572 -0.0674309470 -72.4939100126 0.0584153782 17.5145469414
-0.1558560753 -0.0700443060 -72.3675710367 0.0588378975 17.6412194747
-0.2674558731 -0.0878069669 -71.0158812476 0.0633623902 18.9983325672
-0.2741101284 -0.0887548330 -70.9433170963 0.0636054751 19.0712089016
-0.3116082023 -0.0903065919 -70.6132140415 0.0647136777 19.4034778835
-0.4591881622 -0.0608766403 -69.5291306469 0.0683644950 20.4984440067
-0.5870374172 0.1646600662 -67.9634105129 0.0736149877 22.0971751680
-0.6364247278 0.2177332799 -67.6312567650 0.0747468330 22.4377441363
-0.7525658964 0.2984896039 -67.1593889699 0.0763842346 22.9319290523
-1.2880457292 0.5395149187 -65.2401291080 0.0830447646 25.0200248322
-1.3459372812 0.4801785707 -65.0000000000 0.0838923052 25.2759933551
-2.1689180100 -0.3158942221 -61.4044533668 0.0964576354 29.0575271771
-2.2705173718 -0.4325504216 -60.9566349972 0.0980378681 29.5314352151
-2.4674088214 -0.6478033424 -60.0000000000 0.1013747373 30.5328369760
-2.4686593507 -0.6488145167 -59.9948430588 0.1013927586 30.5382393557
-2.8933401379 -0.1077731651 -58.0380993893 0.1077201751 32.7609042584
-2.4811948885 0.8246075298 -56.6952083222 0.1128142612 34.5738088889
-1.7456463634 0.1465334461 -56.6847239782 0.1159369108 35.6274197894
0.6361076900 0.2276332508 -57.1531333119 0.1222183368 38.4487837146
1.8999872114 1.8276297839 -57.5735107971 0.1265835242 41.0256630669
1.7551393704 2.0872337397 -57.6864124595 0.1276586559 41.8538212948
1.5888293906 2.0829873292 -57.7117467011 0.1282369890 43.0886628643
1.5886945080 2.0830535494 -57.7119536976 0.1282400981 43.0904253641
