X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -8000.0000000000 0.0000000000 0.0000000000
-0.0000018466 -0.0000010978 -7991.8874707047 0.0270616761 8.1125292953
-0.0002076391 -0.0000560975 -7748.3319816626 0.8395110992 251.6680183382
-0.0000383459 0.0001297919 -7634.8265196090 1.2181412320 365.1734803922
-0.0000063481 0.0001868340 -7613.9280594248 1.2878540601 386.0719405765
0.0000941569 0.0004014730 -7512.3025155461 1.6268553071 487.6974844557
0.0008877275 0.0015640466 -7104.7897797586 2.9862313099 895.2102202477
0.0010243530 0.0018020723 -7057.1849700455 3.1450308522 942.8150299616
0.0018843104 0.0045816472 -6656.0384689048 4.4831704474 1343.9615311149
0.0017238267 0.0059872598 -6505.0000000000 4.9870027258 1495.0000000266
0.0016957793 0.0060641415 -6495.0000000000 5.0203606035 1505.0000000283
0.0012901344 0.0085648393 -6408.2483592611 5.3097456669 1591.7516408042
0.0006459438 0.0120911405 -6280.2566781718 5.7366987529 1719.7433219439
0.0004831631 0.0129998152 -6246.6123635386 5.8489290467 1753.3876365898
-0.0007816069 0.0189114329 -6010.0000000000 6.6382176782 1990.0000002063
-0.0008624099 0.0191757037 -6000.1000000000 6.6712419772 1999.9000002102
-0.0008639704 0.0191810293 -5999.9000000000 6.6719091348 2000.1000002102
-0.0009412156 0.0194446466 -5990.0000000000 6.7049334339 2010.0000002140
-0.0019668442 0.0230080515 -5858.4442627285 7.1437754550 2141.5557375379
-0.0026719915 0.0249435732 -5786.4280748772 7.3840061747 2213.5719254188
-0.0031217653 0.0262109677 -5740.5773807700 7.5369543599 2259.4226195457
-0.0041927886 0.0294342793 -5621.6094969185 7.9338059735 2378.3905034459
-0.0044390357 0.0300562277 -5601.1003759551 8.0022200486 2398.8996244202
-0.0055072497 0.0328093346 -5510.0000000000 8.3061115698 2490.0000004232
-0.0057772456 0.0331145866 -5500.1000000000 8.3391358689 2499.9000004316
-0.0057827992 0.0331209928 -5499.9000000000 8.3398030265 2500.1000004318
-0.0060577001 0.0334381007 -5490.0000000000 8.3728273255 2510.0000004407
-0.0193980250 0.0488706144 -5010.0000000000 9.9740054624 2990.0000008772
-0.0196822136 0.0492143613 -5000.1000000000 10.0070297614 2999.9000008873
-0.0196880071 0.0492212581 -4999.9000000000 10.0076969190 3000.1000008875
-0.0199747900 0.0495626511 -4990.0000000000 10.0407212181 3010.0000008975
-0.0220490036 0.0521273192 -4915.6564380272 10.2887155641 3084.3435629436
-0.0263511078 0.0572092608 -4765.7766074802 10.7886828721 3234.2233936386
-0.0309122792 0.0622863545 -4610.2508799210 11.3074836945 3389.7491213479
-0.0325348441 0.0642170852 -4552.6501578098 11.4996274797 3447.3498435144
-0.0334568515 0.0652843465 -4520.4042644636 11.6071929369 3479.5957368914
-0.0337519508 0.0656320179 -4510.0000000000 11.6418993552 3490.0000013650
-0.0340425861 0.0659677040 -4500.1000000000 11.6749236543 3499.9000013750
-0.0340482531 0.0659744906 -4499.9000000000 11.6755908118 3500.1000013751
-0.0343287729 0.0663104240 -4490.0000000000 11.7086151109 3510.0000013848
-0.0358358498 0.0679970983 -4440.4957874571 11.8737506585 3559.5042139794
-0.0382619828 0.0708124594 -4361.2332746374 12.1381535807 3638.7667268863
-0.0398777582 0.0723959141 -4313.3077582467 12.2980229329 3686.6922433304
-0.0480956173 0.0805685640 -4071.0893355602 13.1060121890 3928.9106662949
-0.0492892802 0.0818155999 -4033.7164568545 13.2306801813 3966.2835450405
-0.0500681034 0.0825741312 -4010.0000000000 13.3097932484 3990.0000019199
-0.0503961273 0.0828933704 -4000.1000000000 13.3428175475 3999.9000019305
-0.0504027218 0.0828997459 -3999.9000000000 13.3434847051 4000.1000019307
-0.0507291516 0.0832153311 -3990.0000000000 13.3765090041 4010.0000019411
-0.0556169438 0.0879924700 -3833.1550611766 13.8997104354 4166.8449409137
-0.0578645181 0.0901488074 -3761.8165617829 14.1376805303 4238.1834403755
-0.0797433844 0.1125538636 -3074.9438071585 16.4289422761 4925.0561957203
-0.0883012005 0.1197631855 -2828.4470754082 17.2512030634 5171.5529277253
-0.0952177376 0.1246600010 -2654.5841625058 17.8311728450 5345.4158408345
-0.1037750719 0.1316144962 -2435.0907800308 18.5633561897 5564.9092235871
-0.1058568623 0.1335431698 -2376.7856114011 18.7578498592 5623.2143922859
-0.1080519654 0.1354614856 -2315.3446153522 18.9628039835 5684.6553884040
-0.1106889608 0.1377493037 -2243.4840396342 19.2025156144 5756.5159642068
-0.1107337407 0.1377895623 -2242.2267115250 19.2067097941 5757.7732923174
-0.1125411513 0.1394490794 -2190.9871304760 19.3776341629 5809.0128734252
-0.1179846159 0.1450227874 -2027.4263997928 19.9232380508 5972.5736042943
-0.1189147824 0.1459732116 -2000.1546722760 20.0142107464 5999.8453318436
-0.1189200371 0.1459784568 -2000.0000000000 20.0147267003 6000.0000041197
-0.1218948975 0.1489479685 -1912.4345889611 20.3068263291 6087.5654152596
-0.1220466799 0.1491060951 -1907.8233599393 20.3222084106 6092.1766442866
-0.1297555182 0.1571800113 -1673.1815332011 21.1049237507 6326.8184712910
-0.1325591673 0.1599977443 -1589.5708241962 21.3838313328 6410.4291803905
-0.1366918824 0.1637681485 -1476.6356290984 21.7605591775 6523.3643756269
-0.1375097649 0.1644588279 -1454.9811697945 21.8327938584 6545.0188349573
-0.1383380723 0.1651647732 -1432.9492212658 21.9062877632 6567.0507835129
