X Y Z LocalTime TrackLength
100.0000000000 100.0000000000 100.0000000000 0.0000000000 0.0000000000
100.0004269721 100.0123418368 96.5075976606 0.0116494131 3.4924044053
100.0264056884 104.9725662129 28.5663241028 0.2390233251 71.6573801174
100.0230555117 106.3924182383 19.0537557879 0.2711049979 81.2752190638
99.9969145863 112.8399288127 -14.2691626615 0.3843362681 115.2210882968
99.9311603560 138.4018313354 -94.5999176789 0.6658535376 199.6178415107
99.9177135964 148.7269157630 -117.9816966004 0.7511176038 225.1793555000
99.9530088355 289.8193484276 -296.4635794220 1.5167100097 454.6984257127
99.9174185259 313.0970148438 -314.0310835294 1.6139954312 483.8638505563
99.8581065950 361.1716382129 -344.3325990751 1.8036359374 540.7166328968
99.5156709327 408.9442737916 -367.6074985052 1.9809847566 593.8844596296
99.4559245137 415.6239970566 -370.3773816828 2.0051058887 601.1157895599
99.2687083335 437.4375155442 -378.6523977467 2.0829351438 624.4484037948
98.9304444045 480.5384367298 -391.7680852683 2.2332615314 669.5151087973
98.8511533062 488.9875114437 -393.8494399112 2.2622882404 678.2170930092
98.2033104755 557.1843025715 -405.2163396579 2.4930740035 747.4049162782
97.4079452660 651.6441794200 -405.6301678408 2.8086085861 841.9998099482
97.1821300877 680.9324762357 -402.1796103878 2.9069920737 871.4944266644
96.5503972631 760.3483889887 -383.7617175157 3.1792445776 953.1136715187
96.3452568486 788.8314704529 -373.7259060505 3.2799938772 983.3175406834
95.8992134617 843.9694105889 -348.6207367155 3.4821933550 1043.9354087525
95.4075317205 902.6269835224 -312.1779567831 3.7127378176 1113.0508919129
94.8475262022 964.9676553573 -259.0871807797 3.9861618252 1195.0213449226
94.8185935061 968.1778245014 -255.8481890989 4.0013734777 1199.5816813226
94.6270028415 987.9521322415 -234.5160209005 4.0984115755 1228.6729603548
94.5520913852 995.1146670078 -226.1505806309 4.1351470892 1239.6859850983
93.9367376934 1043.3985586704 -157.5831798492 4.4152132265 1323.6476995997
93.5166138728 1069.7479618993 -105.9461301583 4.6086879165 1381.6499415112
93.1469338137 1087.6397564245 -59.0996048585 4.7760283321 1431.8173239893
93.1258320627 1088.5797090159 -56.1859819744 4.7862405937 1434.8788814239
92.5401422122 1108.5793986382 35.1291122633 5.0985145325 1528.4962580018
92.4377880376 1110.4385120925 52.6294419455 5.1572201412 1546.0957490330
92.2803740603 1112.0898799846 78.7190791119 5.2444278137 1572.2399413366
92.0845641653 1112.1868326193 113.7435626880 5.3612800746 1607.2713560921
91.7313587238 1105.4437591873 181.4351490584 5.5883594183 1675.3480223709
91.7079616739 1104.6885779911 185.7975071239 5.6031271662 1679.7752795787
91.6777750170 1103.6794264309 191.2996348856 5.6217864425 1685.3691870802
91.3357390868 1086.9635623142 255.9633562104 5.8447268031 1752.2050170537
91.0007893025 1060.6085851806 320.5619991526 6.0776280057 1822.0270333360
90.9657573705 1057.2935178267 327.1904813880 6.1023489354 1829.4381779637
90.8512589480 1045.5828001757 348.8794735888 6.1845737010 1854.0885327184
90.7521413120 1034.1705323951 367.8547793078 6.2584382775 1876.2325665092
90.7287570619 1031.4743564352 372.0773345528 6.2751495732 1881.2424843834
90.6658873870 1023.7903404096 383.6254366509 6.3214185205 1895.1135594688
90.6427771151 1020.8900336432 387.8156469063 6.3384170459 1900.2095865940
90.5519629952 1008.8964417102 404.2358627067 6.4062473643 1920.5445958538
90.2684983823 962.6482590034 456.8793638584 6.6401701251 1990.6728677046
90.2071832216 951.1381028503 467.9198615107 6.6933722928 2006.6224691588
90.1212517780 933.7510558996 483.3485174187 6.7709156067 2029.8693603670
90.0116024294 913.7639641863 499.4454566959 6.8565255917 2055.5345781311
