X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.6254806122 23.2176418124 -0.5178215271 0.0784032556 23.5047047161
-3.6256350491 23.2186298151 -0.5178435630 0.0784065921 23.5057049588
-3.7597539049 24.0762055685 -0.5369703695 0.0813026313 24.3739156920
-3.7782965730 24.1947642891 -0.5396138382 0.0817030054 24.4939448083
-3.7821587233 24.2194641640 -0.5401644305 0.0817864166 24.5189508711
-4.3547158529 27.8819807374 -0.6218058086 0.0941546362 28.2268498225
-4.4746647470 28.6476421438 -0.6388741967 0.0967403851 29.0020378478
-4.4749743018 28.6496180428 -0.6389182443 0.0967470580 29.0040383331
-4.4754386341 28.6525818912 -0.6389843157 0.0967570674 29.0070390609
-4.5256710831 28.9736764365 -0.6461420464 0.0978414136 29.3321178810
-4.5925797072 29.4007672506 -0.6556648883 0.0992837612 29.7645228037
-4.8372418997 30.9624673264 -0.6904861221 0.1045578508 31.3456550886
-4.8452033667 31.0132828608 -0.6916191639 0.1047294625 31.3971029976
-5.0684149958 32.4379694600 -0.7233856238 0.1095408451 32.8395191992
-5.0893387624 32.5716910479 -0.7263671666 0.1099924292 32.9749007220
-5.0925621879 32.5922641591 -0.7268258377 0.1100619078 32.9957298786
-5.1102677926 32.7054133072 -0.7293483854 0.1104440183 33.1102837149
-5.1118794769 32.7156998592 -0.7295777545 0.1104787576 33.1206982860
-5.1440684264 32.9214251928 -0.7341648611 0.1111735011 33.3289771447
-5.1762553436 33.1271502673 -0.7387521851 0.1118682427 33.5372554380
-5.1778669570 33.1374368102 -0.7389815262 0.1119029819 33.5476699885
-5.1794785712 33.1477233532 -0.7392108674 0.1119377211 33.5580845393
-5.2140818380 33.3688781056 -0.7441414149 0.1126845704 33.7819843403
-5.2142429995 33.3699067599 -0.7441643496 0.1126880443 33.7830257954
-5.6549458998 36.1848686913 -0.8069252092 0.1221944272 36.6329676712
-5.6773672442 36.3281386296 -0.8101203776 0.1226782584 36.7780166319
-5.7471802793 36.7737509035 -0.8200589409 0.1241831573 37.2291739620
-6.0978953825 39.0123040579 -0.8699857787 0.1317430871 39.4955839142
-6.4867180766 41.4960538919 -0.9253798889 0.1401309241 42.0101941902
-6.4868728635 41.4970418398 -0.9254019094 0.1401342606 42.0111944327
-6.5641115523 41.9900278582 -0.9363901391 0.1417991490 42.5103154324
-6.6344937275 42.4395513405 -0.9464094664 0.1433172336 42.9654257473
-7.1479363159 45.7168760275 -1.0194431810 0.1543852373 46.2835297815
-7.5924246268 48.5536927814 -1.0826608460 0.1639656114 49.1556536752
-7.6864427494 49.1536663820 -1.0960308629 0.1659918218 49.7630962545
-7.6880980388 49.1642293060 -1.0962662508 0.1660274945 49.7737906808
-7.7182097671 49.3564714813 -1.1005501957 0.1666767213 49.9684239830
-7.7595730441 49.6205406153 -1.1064345152 0.1675685176 50.2357777813
-7.7632126856 49.6437786307 -1.1069522909 0.1676469953 50.2593047964
-7.7648679423 49.6543415478 -1.1071876861 0.1676826680 50.2699992111
-7.8080701602 49.9300336903 -1.1133314997 0.1686137262 50.5491234408
-8.0728137490 51.6200800430 -1.1509938119 0.1743212451 52.2601945359
-8.0839023619 51.6908512520 -1.1525704878 0.1745602504 52.3318465231
-8.0847240743 51.6960956783 -1.1526873257 0.1745779616 52.3371562189
-8.0929978035 51.7489097298 -1.1538639388 0.1747563221 52.3906273611
-8.1260939934 51.9601662021 -1.1585707263 0.1754697658 52.6045123973
