X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-13.7733653445 19.0393646976 -23.8153964199 0.1116008018 33.4570786986
-13.7739516358 19.0401747979 -23.8164098842 0.1116055510 33.4585024647
-14.2828881017 19.7433161215 -24.6960966507 0.1157278322 34.6943312778
-14.3532477317 19.8405247801 -24.8177116201 0.1162977311 34.8651826800
-14.3884277189 19.8891289849 -24.8785190625 0.1165826805 34.9506083510
-14.4236075486 19.9377333035 -24.9393263797 0.1168676296 35.0360339329
-14.4382653195 19.9579854585 -24.9646626860 0.1169863582 35.0716278712
-16.5414165929 22.8637253548 -28.5999319329 0.1340215755 40.1786575485
-16.9962649888 23.4912111529 -29.3853620438 0.1377021739 41.2820731736
-16.9974388017 23.4928304634 -29.3873889605 0.1377116722 41.2849206979
-16.9991995212 23.4952594290 -29.3904293354 0.1377259197 41.2891919845
-17.1897750609 23.7585197004 -29.7198031435 0.1392693958 41.7519144847
-17.4434919046 24.1085356972 -30.1579185391 0.1413224511 42.3674049899
-18.4960931181 25.5626104892 -31.9771428630 0.1498475298 44.9231592731
-18.5264924633 25.6045463382 -32.0296347717 0.1500935123 44.9969029947
-19.3787824367 26.7802779232 -33.5013210817 0.1569899884 47.0644145049
-19.4586986772 26.8906627838 -33.6394314238 0.1576371878 47.2584399916
-19.4710063395 26.9076407819 -33.6606834215 0.1577367765 47.2882959531
-19.5386282191 27.0010432077 -33.7775468596 0.1582844091 47.4524720625
-19.5447820911 27.0095321932 -33.7881728869 0.1583342036 47.4674000726
-19.6677316823 27.1793545456 -34.0006524042 0.1593299009 47.7659026331
-19.7906798274 27.3491773804 -34.2131359914 0.1603256069 48.0644077695
-19.7968336845 27.3576663708 -34.2237622918 0.1603754020 48.0793359706
-19.8029875426 27.3661553609 -34.2343885925 0.1604251971 48.0942641722
-19.9351607970 27.5487135746 -34.4628108292 0.1614955896 48.4151597764
-19.9357761681 27.5495624785 -34.4638734808 0.1615005692 48.4166526086
-21.4694417709 29.6676891220 -37.1142783321 0.1739202837 52.1399893569
-21.5544823736 29.7851374007 -37.2612425115 0.1746089500 52.3464463071
-21.5550676199 29.7859447285 -37.2622531464 0.1746136858 52.3478660516
-21.6307006798 29.8903988756 -37.3929599497 0.1752261670 52.5314833085
-21.8190074542 30.1504296367 -37.7183557702 0.1767509522 52.9886024156
-21.8190095135 30.1504324775 -37.7183593263 0.1767509689 52.9886074113
-24.6247959305 34.0250411665 -42.5668312875 0.1994707514 59.7998268529
-24.9176828358 34.4290441647 -43.0725741083 0.2018406462 60.5103034415
-25.1845949716 34.7975315377 -43.5337225073 0.2040015723 61.1581328007
-27.1304759868 37.4841702592 -46.8958213307 0.2197563201 65.8812873658
-27.9031225739 38.5498835975 -48.2299286023 0.2260079289 67.7554725208
-28.7532512834 39.7224404889 -49.6977993344 0.2328863514 69.8175717192
-28.7592102696 39.7306593245 -49.7080882150 0.2329345649 69.8320257791
-28.8675918304 39.8802700448 -49.8953259278 0.2338119583 70.0950616919
-29.0164651409 40.0857802278 -50.1525199962 0.2350171660 70.4563738655
-29.0295653376 40.1038653875 -50.1751524184 0.2351232223 70.4881687501
-29.0355238686 40.1120844014 -50.1854410880 0.2351714351 70.5026225734
-29.1809436765 40.3126719626 -50.4365392479 0.2363480825 70.8553725975
-29.4191046730 40.6414250785 -50.8479727174 0.2382760621 71.4333663444
-29.7078798243 41.0397541071 -51.3466039819 0.2406126548 72.1338592087
-31.5662167886 43.6049908259 -54.5569700821 0.2556564717 76.6438820686
-32.8741140381 45.4089505796 -56.8152332877 0.2662387205 79.8163604251
-34.1452365440 47.1621160579 -59.0099414928 0.2765231490 82.8995545322
-34.3717658508 47.4745391035 -59.4010550832 0.2783559115 83.4490029210
-37.6119688466 51.9458242970 -64.9974587137 0.3045807199 91.3110026891
