X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-13.7733653445 19.0393646975 -23.8153964199 0.1116008018 33.4570786986
-13.7739516359 19.0401747978 -23.8164098842 0.1116055510 33.4585024647
-14.2828881018 19.7433161215 -24.6960966507 0.1157278322 34.6943312778
-14.3532477318 19.8405247801 -24.8177116201 0.1162977311 34.8651826800
-14.3884277190 19.8891289848 -24.8785190625 0.1165826805 34.9506083510
-14.4236075487 19.9377333035 -24.9393263797 0.1168676296 35.0360339329
-14.4382653196 19.9579854585 -24.9646626860 0.1169863582 35.0716278712
-16.5414165930 22.8637253547 -28.5999319329 0.1340215755 40.1786575485
-16.9962649889 23.4912111528 -29.3853620438 0.1377021739 41.2820731736
-16.9974388018 23.4928304633 -29.3873889605 0.1377116722 41.2849206979
-16.9991995213 23.4952594290 -29.3904293354 0.1377259197 41.2891919845
-17.1897750610 23.7585197004 -29.7198031435 0.1392693958 41.7519144847
-17.4434919047 24.1085356972 -30.1579185391 0.1413224511 42.3674049899
-18.4960931182 25.5626104892 -31.9771428630 0.1498475298 44.9231592732
-18.5264924634 25.6045463381 -32.0296347717 0.1500935123 44.9969029948
-19.3787824368 26.7802779232 -33.5013210818 0.1569899884 47.0644145049
-19.4586986773 26.8906627838 -33.6394314238 0.1576371878 47.2584399917
-19.4710063396 26.9076407819 -33.6606834216 0.1577367765 47.2882959532
-19.5386282192 27.0010432077 -33.7775468596 0.1582844091 47.4524720626
-19.5447820912 27.0095321931 -33.7881728870 0.1583342036 47.4674000727
-19.6677316824 27.1793545456 -34.0006524042 0.1593299009 47.7659026332
-19.7906798275 27.3491773804 -34.2131359914 0.1603256069 48.0644077695
-19.7968336846 27.3576663708 -34.2237622918 0.1603754020 48.0793359707
-19.8029875427 27.3661553609 -34.2343885925 0.1604251971 48.0942641722
-19.9351607971 27.5487135746 -34.4628108292 0.1614955896 48.4151597764
-19.9357761682 27.5495624785 -34.4638734808 0.1615005692 48.4166526086
-21.4694417710 29.6676891220 -37.1142783321 0.1739202837 52.1399893569
-21.5544823737 29.7851374007 -37.2612425115 0.1746089500 52.3464463071
-21.5550676200 29.7859447285 -37.2622531464 0.1746136858 52.3478660516
-21.6307006798 29.8903988756 -37.3929599497 0.1752261670 52.5314833085
-21.8190074543 30.1504296366 -37.7183557702 0.1767509522 52.9886024156
-21.8190095136 30.1504324774 -37.7183593263 0.1767509689 52.9886074113
-24.6247959305 34.0250411665 -42.5668312875 0.1994707514 59.7998268529
-24.9176828359 34.4290441646 -43.0725741083 0.2018406462 60.5103034415
-25.1845949716 34.7975315377 -43.5337225073 0.2040015723 61.1581328007
